Majors.by.Department 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
AMST 11 8 7 6 12 16 9 4 12 6
ANTH 4 6 6 10 10 7 8 6 4 3
ARAB 0 0 0 8 2 12 8 8 6 10
ART 56 70 56 60 41 49 45 30 32 45
ASPH 1 5 0 6 2 4 3 5 1 1
ASST 8 6 10 6 8 10 3 8 6 3
ASTR 1 3 0 0 3 0 1 0 2 2
BIOL 48 62 57 67 53 49 54 60 58 57
CHEM 24 33 36 29 26 28 31 36 44 52
CHIN 6 13 11 15 11 5 9 19 11 6
CLAS 7 6 9 1 6 4 9 6 8 3
CMJ1 2 2 4 1 0 1 0 4 3 0
CMJ2 0 2 1 1 3 1 1 0 0 0
CMJ3 1 0 0 0 0 0 0 0 1 0
COMP 9 0 8 4 7 4 10 7 11 10
CSCI 16 13 18 13 20 11 12 18 29 39
ECON 122 95 73 78 73 100 63 86 91 115
ENGL 73 67 65 69 55 67 67 63 67 54
ENVP 0 0 0 1 4 3 6 7 5 4
ENVS 0 0 0 0 0 2 6 3 6 4
GEOS 10 4 8 8 10 3 9 6 11 16
GERM 5 2 2 6 3 5 2 3 4 3
HIST 50 50 57 58 62 79 71 66 64 49
JAPN 4 4 5 2 1 4 4 5 2 13
LIT 0 0 2 1 9 2 3 0 0 0
MATH 50 48 55 55 55 53 68 60 55 66
MUS 4 10 9 6 9 6 2 13 6 6
PHIL 20 29 19 18 14 14 22 10 9 10
PHYS 14 10 12 12 11 14 16 16 13 14
POEC 12 18 12 19 19 10 10 20 17 20
PSCI 47 49 63 61 66 53 65 61 51 48
PSYC 53 58 59 57 71 67 52 69 61 55
REL 4 5 14 12 2 6 10 7 6 6
RLFR 6 5 8 3 7 6 9 9 9 13
RLSP 7 6 7 8 13 7 13 8 2 3
RUSS 5 2 1 3 1 4 4 1 3 2
SOC 1 7 4 7 13 12 9 8 7 7
STAT 0 0 0 0 0 0 0 0 2 12
THEA 7 5 9 9 6 11 8 5 6 9
WGSS 0 0 0 0 0 5 13 9 7 5
WGST 3 4 4 4 6 0 0 0 0 0
